variable;variable_old;item;text;info
EZKV_1;EZKV_1;Behörden bearbeiten Anliegen ohne Verzögerung.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden bearbeiten Anliegen ohne Verzögerung.;"{""ImportId"":""QID16_1""}"
EZKV_2;EZKV_2;Behörden handeln transparent und ehrlich.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden handeln transparent und ehrlich.;"{""ImportId"":""QID16_2""}"
EZKV_3;EZKV_3;Die Anträge in Behörden sind klar und verständlich.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Anträge in Behörden sind klar und verständlich.;"{""ImportId"":""QID16_3""}"
EZKV_4;EZKV_4;Behörden erledigen ihre Aufgaben sehr gut.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden erledigen ihre Aufgaben sehr gut.;"{""ImportId"":""QID16_4""}"
EZKV_5;EZKV_5;Behörden verarbeiten meine Daten sicher und ausschließlich zweckmäßig.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden verarbeiten meine Daten sicher und ausschließlich zweckmäßig.;"{""ImportId"":""QID16_5""}"
EZKV_6;EZKV_6;Die Interaktion mit Behörden ist frustrierend.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Interaktion mit Behörden ist frustrierend.;"{""ImportId"":""QID16_6""}"
BundID;BundID;NA;Sind Sie für den BundID-Service angemeldet?;"{""ImportId"":""QID34""}"
PP_1;PP_1;Ich setze mich aktiv für meine politischen Anschauungen ein.;Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich setze mich aktiv für meine politischen Anschauungen ein.;"{""ImportId"":""QID11_1""}"
PP_2;PP_2;Ich besuche die Wahlveranstaltungen von Parteien und nehme zu dem Gesagten Stellung.;Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich besuche die Wahlveranstaltungen von Parteien und nehme zu dem Gesagten Stellung.;"{""ImportId"":""QID11_2""}"
PP_3;PP_3;Ich habe in den letzten Monaten an einer Demonstration teilgenommen.;Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich habe in den letzten Monaten an einer Demonstration teilgenommen.;"{""ImportId"":""QID11_3""}"
PP_4;PP_4;Ich habe schon einmal eine politische Entschließung/eine Resolution unterschrieben.;Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich habe schon einmal eine politische Entschließung/eine Resolution unterschrieben.;"{""ImportId"":""QID11_4""}"
PP_5;PP_5;Ich habe in den letzten Wochen eine politische Sendung -außer Nachrichten- im Rundfunk oder Fernsehen verfolgt.;Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich habe in den letzten Wochen eine politische Sendung -außer Nachrichten- im Rundfunk oder Fernsehen verfolgt.;"{""ImportId"":""QID11_5""}"
PP_6;PP_6;Ich lese regelmäßig den politischen Teil einer (Online-)Zeitung.;Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich lese regelmäßig den politischen Teil einer (Online-)Zeitung.;"{""ImportId"":""QID11_6""}"
HDS;HDS;NA;Wie oft haben Sie in den letzten 12 Monaten digitale Services der Kommunalverwaltung (z. B. Online-Terminvereinbarungen, digitale Antragsstellung, Bürger-App) genutzt?;"{""ImportId"":""QID36""}"
AD_1;AD_1;Ich erledige alltägliche Verwaltungstätigkeiten bevorzugt online.;Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Ich erledige alltägliche Verwaltungstätigkeiten bevorzugt online.;"{""ImportId"":""QID37_1""}"
AD_2;AD_2;Bei Terminen wie Arztbesuchen oder Anmeldungen wähle ich meist den digitalen Weg.;Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Bei Terminen wie Arztbesuchen oder Anmeldungen wähle ich meist den digitalen Weg.;"{""ImportId"":""QID37_2""}"
AD_3;AD_3;Wenn sowohl ein digitaler als auch ein analoger Weg möglich ist, entscheide ich mich in der Regel für die digitale Option.;Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Wenn sowohl ein digitaler als auch ein analoger Weg möglich ist, entscheide ich mich in der Regel für die digitale Option.;"{""ImportId"":""QID37_3""}"
PD_1;PD_1;Verglichen mit anderen mache ich mir viele Sorgen über meine Privatsphäre.;Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Verglichen mit anderen mache ich mir viele Sorgen über meine Privatsphäre.;"{""ImportId"":""QID10_1""}"
PD_2;PD_2;Verglichen mit anderen bin ich sehr empfindlich, wenn es darum geht, was mit meinen persönlichen Daten passiert.;Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Verglichen mit anderen bin ich sehr empfindlich, wenn es darum geht, was mit meinen persönlichen Daten passiert.;"{""ImportId"":""QID10_2""}"
PD_3;PD_3;Für mich ist es sehr wichtig, meine Privatsphäre zu schützen.;Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Für mich ist es sehr wichtig, meine Privatsphäre zu schützen.;"{""ImportId"":""QID10_3""}"
ATI_1;ATI_1;Ich beschäftige mich gern genauer mit technischen Systemen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich beschäftige mich gern genauer mit technischen Systemen.;"{""ImportId"":""QID14_1""}"
ATI_2;ATI_2;Ich probiere gern die Funktionen neuer technischer Systeme aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.;"{""ImportId"":""QID14_2""}"
ATI_3;ATI_3;Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;"{""ImportId"":""QID14_3""}"
ATI_4;ATI_4;Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen;"{""ImportId"":""QID14_4""}"
TIA_1;TIA_1;Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein.;"{""ImportId"":""QID15_1""}"
TIA_2;TIA_2;Ich vertraue einem System eher als dass ich ihm misstraue.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Ich vertraue einem System eher als dass ich ihm misstraue.;"{""ImportId"":""QID15_2""}"
TIA_3;TIA_3;Automatisierte Systeme funktionieren generell gut.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Automatisierte Systeme funktionieren generell gut.;"{""ImportId"":""QID15_3""}"
ICTSC_1;ICTSC_1;Ich bin gut darin, digitale Systeme zu nutzen.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, digitale Systeme zu nutzen.;"{""ImportId"":""QID12_1""}"
ICTSC_2;ICTSC_2;Ich lerne schnell, wenn es um das Nutzen digitaler Systeme geht.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, wenn es um das Nutzen digitaler Systeme geht.;"{""ImportId"":""QID12_2""}"
